Name	TrueSA	RandomAssignment	BETSA	LCD	GeoSA	MaxLoad	MaxLoad_Pressure	MaxLoadArea	MaxError	Set	RemStat	cr_0	cr_1	cr_2	cr_3	cr_4	cr_5	cr_6	cr_0-cr_0	cr_0-cr_1	cr_0-cr_2	cr_0-cr_3	cr_0-cr_4	cr_0-cr_5	cr_0-cr_6	cr_1-cr_1	cr_1-cr_2	cr_1-cr_3	cr_1-cr_4	cr_1-cr_5	cr_1-cr_6	cr_2-cr_2	cr_2-cr_3	cr_2-cr_4	cr_2-cr_5	cr_2-cr_6	cr_3-cr_3	cr_3-cr_4	cr_3-cr_5	cr_3-cr_6	cr_4-cr_4	cr_4-cr_5	cr_4-cr_6	cr_5-cr_5	cr_5-cr_6	cr_6-cr_6	FittedValues	FitError	BETError
ABEYAJ	583.369	0.4815040410027272	464.822002	4.6	220.679	6.8242748385	100000.0	583.5601196997472	0.032761373975514436	Training	Retained	0.0	0.012333608693903502	0.03197949933247425	0.025553889827123977	0.011588300513097383	0.006742666488345673	0.013118944811845215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00023092700544306743	0.0007340578732711499	0.0012158146051749062	0.0007387183291272639	0.000733278553914885	0.00043104696007787216	0.001778366323296425	0.0018756427209818231	0.0007727882174752922	0.0007908435977386911	0.0011092798317060802	0.002010255230386982	0.0012512412856162483	0.0007503172206099642	0.0024537818041350406	0.00046600237496205975	0.00027916287086998155	0.001062838493598251	0.00016714886649426365	0.0008927920908727535	0.0006458898872623212	477.3895368538595	-18.16679719802398	-20.321100024169954
ACUFEK	3259.719	0.2148714564978138	3638.266347	15.17	3864.2	46.5330841297	100000.0	3979.1557033325594	22.070512928646863	Training	Retained	0.13674989625310527	0.18484152643316618	0.30265580929749203	0.43186458424304175	0.2599569161191167	0.15960989714307505	0.31116226533796676	0.018700534125235056	0.032851971256397605	0.07190918671592039	0.16470767690549787	0.15711298282376257	0.08512292805185093	0.04940945243909078	0.03514119440805086	0.06661069594871286	0.15243374269005036	0.14526633297928357	0.14916357235213495	0.08655405197679114	0.09675254933963758	0.14959644459348245	0.13449341722256947	0.14573513405932648	0.20586451077035378	0.19988053881356452	0.1561548877929206	0.09645057775701847	0.3102279203002037	0.07314899539766985	0.045185270444203444	0.1693554657119239	0.027912487219753385	0.14683774112569065	0.10466563362269558	3194.2084731296222	-2.00969859274305	11.612882797566298
AFOVIB	1327.249	0.2547770091922069	1385.124083	8.72	1309.15	16.4933708004	70000.0	1410.387721232125	6.263988236730629	Training	Retained	0.4047324767146551	0.22891333082513213	0.1657901851718847	0.16970686216933278	0.08945336245668598	0.05187403901032465	0.09880466994028674	0.16380837770757883	0.1200119004199861	0.12040344737656197	0.2100756647067446	0.17655667423077204	0.09119820862472833	0.052175644664690116	0.05354327125599942	0.04649971118069236	0.08095168435331887	0.06785367647743515	0.06640332464444852	0.03796719684261549	0.030862480387683442	0.03599717568099853	0.028047955922475356	0.028912083906044144	0.0401642321000557	0.0364807002536139	0.02510614184162859	0.014766066663674502	0.04675169877860314	0.010360777290124839	0.0060942931798941774	0.02248446693850664	0.003584552249905207	0.01856066680509372	0.013020822249757463	1412.178468938353	6.398909996417629	4.360529410833982
BUVYIB01	2419.738	0.11891430351985802	2379.793015	10.68	2769.22	30.280048010500003	60000.0	2589.3195774930805	7.008261947908437	Training	Retained	0.0	0.641124819914634	0.5321858158282233	0.31006113255374557	0.16954119234776677	0.09640615061962868	0.19008044101720553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4125295796526623	0.3946084154143239	0.38455967047710593	0.3345056053402602	0.32024332815766443	0.18808482012705685	0.28929913405839613	0.19035729258177006	0.15615392027334368	0.1576938247979417	0.22547215942969184	0.10779805783865153	0.07681417206673315	0.0442147534836661	0.1439141277950846	0.03282176375594316	0.018894592978817026	0.07166319829425463	0.010876933773625239	0.057901913011269235	0.04176429374176085	2503.9936329104785	3.482014702024709	-1.6507979376279431
cg2007167_si_002	1892.1129999999998	0.07264073053305753	1637.067346	6.2	2328.00694	22.286296686500002	100000.0	1905.7547167746627	0.7209779106566392	Training	Retained	0.0	0.443572484301881	0.2783908714998202	0.19576775680662578	0.10862177107766532	0.06286656281943807	0.1242151684837249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19835334371925867	0.14610676963279004	0.17657687407623085	0.15511855709989936	0.15134138430618635	0.0891935534071588	0.082405331446698	0.066970191459696	0.055163964037112885	0.056738883257535545	0.08137657593051059	0.046906627370437715	0.03379856175485348	0.019819414080153714	0.06471815591078514	0.014602731964743567	0.008564261691403655	0.03258790198881944	0.0050226534286271106	0.026823932499969227	0.01941036949355684	1771.4709874297648	-6.3760469152865085	-13.479409210760657
CIGXIA	1767.0639999999999	0.2477376181780621	2375.155566	28.47	1927.4886	36.0885404218	100000.0	3086.01770396513	74.6409696516442	Training	Retained	0.11701661830159976	0.06760236615736467	0.037844924162546076	0.19001156923279233	0.14719205759909224	0.104039056903562	0.2412537587815345	0.013692888958742294	0.010589841489333155	0.009831351739930586	0.06694915101170917	0.07928681609562928	0.048868859200027655	0.033327092055052285	0.0049778721879986795	0.0039661753980102165	0.027048799885920034	0.031942192836450535	0.03736975999424052	0.02551269021085442	0.0023210980483314423	0.010773928157228978	0.011701751541844507	0.01457424744861906	0.02440543826823522	0.044493298593196465	0.04336276528681001	0.03051229186958373	0.11545946923012748	0.025300810979328715	0.01779705237620963	0.07844522707134036	0.012517800829404034	0.07743627754281719	0.06490201487387517	2265.8084473930767	28.22446993391733	34.41253774622764
cm0623918si20061006_115210	758.148	0.3982003093065195	713.975099	4.64	425.095	8.884236554600001	55000.0	759.712389951577	0.20634360989899425	Training	Retained	0.0	0.27421833947673746	0.19507988975715365	0.06858373566452743	0.03280132042144488	0.020535428251359334	0.04005900333753404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07648329016439365	0.06472063181681202	0.04735393023555607	0.036881505828066735	0.03848994846676836	0.022639109215214535	0.04188922510543018	0.020294063199117984	0.01442778144874866	0.015896168897926808	0.022716771097685075	0.008185588137249084	0.005219015990356778	0.00327809078229987	0.01065396972058618	0.001994709216363866	0.0012530433290514262	0.004744338940966724	0.0007871615903207167	0.004183331053311554	0.003011939202046022	808.1473998692379	6.594939229443049	-5.826421885964221
cm901983a	2044.5339999999999	0.3004950012742702	2991.971234	27.63	2103.5821	40.6110459348	90000.0	3472.748004394992	69.85523373027749	Training	Retained	0.0	0.08146974363391425	0.090137839132179	0.27719946838369736	0.15327122114854116	0.08947231048124821	0.23902103541162625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0071214533178673226	0.009733037480163957	0.04541511579458435	0.03972812394003988	0.03895652270791055	0.03029381362315828	0.010126826383495765	0.03187372566606092	0.0259436821029715	0.02680040616829302	0.05110059826498327	0.0877604124382195	0.06315308860358697	0.03725520341427493	0.16050829709279474	0.027250533669694897	0.016077443319513766	0.08070396918138434	0.009485515208799346	0.06683765037050443	0.0637872297538502	2417.1086603662634	18.222962316413597	46.34000872570475
DAWMUL	5173.972	0.4335999986674226	6788.157331999999	28.63	5759.52	118.5966813701	90000.0	10141.486855992538	96.00969730784277	Training	Retained	0.02848498841178736	0.08835088611314229	0.25166161759909655	0.5404434854037833	0.5898114231560583	0.4315009308731459	0.8401161081522479	0.0008113945648196601	0.003332691811893603	0.012555114503114912	0.0423947200462017	0.07199994907665022	0.0462804635498736	0.026781183917681126	0.008326971264017005	0.027164567991286147	0.09162416342808236	0.1556773912159514	0.18973328792853558	0.1097607781251619	0.06793079241655871	0.15496738147720945	0.248920850157097	0.32023461305124323	0.45106997381532515	0.30561656776998014	0.42543148038803674	0.3118210569228506	1.0	0.35488403670994084	0.26011065793588917	0.9720344332554774	0.19065019263966465	1.0	0.7107104873331506	5447.498177909394	5.286580173015904	31.198184528250234
DIMQOH	821.428	0.19889716631619106	762.209741	4.6	229.76	9.649063609199999	80000.0	825.1145869753539	0.448802204862004	Training	Retained	0.07274336008700108	0.1647293066515234	0.19640729294984743	0.07919822233440985	0.03961614364083575	0.023658466188096	0.04729051834404065	0.005291596436747102	0.015606875205678376	0.025356339089592842	0.020544072413085895	0.01657960401434813	0.008825207383926878	0.005276669322129983	0.028025916721134934	0.0394150532547625	0.03170104090903089	0.02538640222349197	0.025599046183688388	0.015298202902234857	0.04242860399937271	0.022722227050453785	0.016754889027547442	0.01780637238072665	0.025887466098456696	0.010247273465806245	0.006756578301562116	0.004091166323574227	0.013536100717984133	0.0026712896253397243	0.001617531489530745	0.0062358738633607885	0.0009794173137777616	0.005299424160963513	0.003885126684579948	894.5447202939388	8.90117214094708	-7.2091843716065185
